boid_count,steps,threads,repeat,total_seconds,avg_frame_ms,throughput_boids_per_sec,speedup,efficiency
4000,300,1,0,18.175617,60.585388,66022.519699,1.000000,1.000000
4000,300,2,0,7.735342,25.784475,155132.111520,2.349685,1.174842
4000,300,4,0,7.583766,25.279220,158232.732118,2.396648,0.599162
4000,300,8,0,7.569788,25.232626,158524.918531,2.401073,0.300134
4000,300,1,1,14.057215,46.857384,85365.414333,1.000000,1.000000
4000,300,2,1,7.811079,26.036931,153627.935979,1.799651,0.899825
4000,300,4,1,7.534991,25.116638,159256.986085,1.865591,0.466398
4000,300,8,1,7.585598,25.285326,158194.517368,1.853145,0.231643
4000,300,1,2,13.591764,45.305881,88288.758382,1.000000,1.000000
4000,300,2,2,7.692151,25.640502,156003.184640,1.766965,0.883483
4000,300,4,2,7.514160,25.047199,159698.495522,1.808820,0.452205
4000,300,8,2,8.272669,27.575563,145055.969015,1.642972,0.205372
4000,300,1,3,13.734217,45.780725,87373.015653,1.000000,1.000000
4000,300,2,3,7.677143,25.590477,156308.148219,1.788975,0.894488
4000,300,4,3,7.466748,24.889160,160712.532405,1.839384,0.459846
4000,300,8,3,7.577507,25.258358,158363.422622,1.812498,0.226562
4000,300,1,4,14.517666,48.392219,82657.916059,1.000000,1.000000
4000,300,2,4,8.690445,28.968150,138082.688541,1.670532,0.835266
4000,300,4,4,8.014761,26.715871,149723.735472,1.811366,0.452841
4000,300,8,4,8.100552,27.001841,148138.049230,1.792182,0.224023
